Date,NEIXCTAT 
2013-05-31,2297.422
2013-06-03,2262.183
2013-06-04,2263.53
2013-06-05,2232.291
2013-06-06,2206.997
2013-06-07,2224.486
2013-06-10,2236.23
2013-06-11,2222.338
2013-06-12,2211.246
2013-06-13,2209.659
2013-06-14,2203.893
2013-06-17,2214.874
2013-06-18,2229.103
2013-06-19,2218.188
2013-06-20,2224.631
2013-06-21,2211.228
2013-06-24,2205.51
2013-06-25,2205.152
2013-06-26,2219.306
2013-06-27,2229.735
2013-06-28,2231.511
2013-07-01,2219.365
2013-07-02,2222.201
2013-07-03,2224.596
2013-07-04,2220.789
2013-07-05,2259.595
2013-07-08,2248.148
2013-07-09,2249.292
2013-07-10,2247.021
2013-07-11,2222.83
2013-07-12,2236.536
2013-07-15,2242.284
2013-07-16,2226.404
2013-07-17,2234.66
2013-07-18,2241.066
2013-07-19,2236.149
2013-07-22,2220.752
2013-07-23,2217.399
2013-07-24,2226.41
2013-07-25,2214.542
2013-07-26,2208.61
2013-07-29,2202.087
2013-07-30,2214.256
2013-07-31,2213.958
2013-08-01,2258.12
2013-08-02,2252.865
2013-08-05,2253.197
2013-08-06,2242.282
2013-08-07,2224.05
2013-08-08,2205.224
2013-08-09,2200.69
2013-08-12,2192.733
2013-08-13,2220.28
2013-08-14,2215.159
2013-08-15,2192.091
2013-08-16,2199.724
2013-08-19,2193.079
2013-08-20,2186.582
2013-08-21,2177.177
2013-08-22,2197.695
2013-08-23,2208.178
2013-08-26,2188.855
2013-08-27,2172.239
2013-08-28,2180.732
2013-08-29,2175.045
2013-08-30,2157.988
2013-09-02,2164.329
2013-09-03,2181.943
2013-09-04,2181.936
2013-09-05,2202.652
2013-09-06,2192.162
2013-09-09,2189.703
2013-09-10,2196.334
2013-09-11,2191.74
2013-09-12,2193.334
2013-09-13,2197.479
2013-09-16,2191.11
2013-09-17,2190.122
2013-09-18,2209.147
2013-09-19,2198.567
2013-09-20,2197.101
2013-09-23,2177.169
2013-09-24,2174.781
2013-09-25,2163.532
2013-09-26,2166.889
2013-09-27,2163.589
2013-09-30,2145.154
2013-10-01,2162.124
2013-10-02,2158.871
2013-10-03,2152.356
2013-10-04,2153.068
2013-10-07,2135.208
2013-10-08,2118.306
2013-10-09,2105.576
2013-10-10,2140.391
2013-10-11,2157.445
2013-10-14,2157.089
2013-10-15,2158.634
2013-10-16,2169.851
2013-10-17,2186.574
2013-10-18,2199.886
2013-10-21,2201.495
2013-10-22,2224.908
2013-10-23,2199.169
2013-10-24,2203.548
2013-10-25,2195.961
2013-10-28,2207.83
2013-10-29,2208.695
2013-10-30,2210.283
2013-10-31,2199.816
2013-11-01,2180.458
2013-11-04,2198.106
2013-11-05,2184.235
2013-11-06,2200.666
2013-11-07,2184.801
2013-11-08,2174.417
2013-11-11,2177.208
2013-11-12,2177.743
2013-11-13,2184.61
2013-11-14,2201.574
2013-11-15,2206.308
2013-11-18,2223.344
2013-11-19,2212.208
2013-11-20,2206.016
2013-11-21,2215.984
2013-11-22,2224.632
2013-11-25,2236.165
2013-11-26,2238.087
2013-11-27,2256.513
2013-11-28,2261.513
2013-11-29,2259.264
2013-12-02,2265.274
2013-12-03,2244.685
2013-12-04,2214.609
2013-12-05,2197.4
2013-12-06,2222.282
2013-12-09,2229.828
2013-12-10,2207.725
2013-12-11,2185.693
2013-12-12,2186.377
2013-12-13,2178.159
2013-12-16,2188.29
2013-12-17,2192.087
2013-12-18,2220.287
2013-12-19,2231.758
2013-12-20,2233.274
2013-12-23,2244.208
2013-12-24,2249.674
2013-12-25,2250.042
2013-12-26,2256.67
2013-12-27,2272.054
2013-12-30,2277.3
2013-12-31,2273.861
2014-01-01,2274.118
2014-01-02,2225.519
2014-01-03,2202.734
2014-01-06,2191.699
2014-01-07,2208.188
2014-01-08,2228.358
2014-01-09,2219.393
2014-01-10,2206.289
2014-01-13,2187.234
2014-01-14,2207.871
2014-01-15,2234.074
2014-01-16,2227.458
2014-01-17,2231.06
2014-01-20,2231.439
2014-01-21,2237.355
2014-01-22,2244.824
2014-01-23,2227.668
2014-01-24,2183.777
2014-01-27,2164.014
2014-01-28,2176.922
2014-01-29,2182.986
2014-01-30,2179.584
2014-01-31,2171.352
2014-02-03,2134.333
2014-02-04,2118.856
2014-02-05,2106.428
2014-02-06,2109.09
2014-02-07,2133.186
2014-02-10,2129.384
2014-02-11,2134.2
2014-02-12,2119.84
2014-02-13,2145.989
2014-02-14,2140.952
2014-02-17,2141.769
2014-02-18,2153.552
2014-02-19,2152.553
2014-02-20,2144.14
2014-02-21,2157.662
2014-02-24,2156.932
2014-02-25,2162.876
2014-02-26,2171.179
2014-02-27,2181.744
2014-02-28,2185.305
2014-03-03,2166.313
2014-03-04,2184.473
2014-03-05,2171.94
2014-03-06,2175.112
2014-03-07,2172.977
2014-03-10,2159.53
2014-03-11,2153.752
2014-03-12,2144.541
2014-03-13,2132.524
2014-03-14,2130.303
2014-03-17,2135.443
2014-03-18,2154.28
2014-03-19,2128.343
2014-03-20,2113.237
2014-03-21,2105.493
2014-03-24,2103.828
2014-03-25,2114.34
2014-03-26,2116.893
2014-03-27,2128.096
2014-03-28,2130.359
2014-03-31,2139.87
2014-04-01,2144.012
2014-04-02,2128.133
2014-04-03,2129.563
2014-04-04,2135.358
2014-04-07,2123.183
2014-04-08,2128.477
2014-04-09,2152.289
2014-04-10,2148.152
2014-04-11,2129.81
2014-04-14,2133.214
2014-04-15,2136.157
2014-04-16,2151.304
2014-04-17,2149.526
2014-04-18,2149.611
2014-04-21,2149.237
2014-04-22,2152.235
2014-04-23,2145.761
2014-04-24,2149.169
2014-04-25,2135.755
2014-04-28,2136.992
2014-04-29,2156.11
2014-04-30,2162.986
2014-05-01,2158.384
2014-05-02,2160.592
2014-05-05,2151.659
2014-05-06,2158.702
2014-05-07,2163.339
2014-05-08,2173.567
2014-05-09,2155.702
2014-05-12,2157.976
2014-05-13,2174.578
2014-05-14,2187.802
2014-05-15,2177.282
2014-05-16,2181.34
2014-05-19,2186.951
2014-05-20,2174.085
2014-05-21,2188.439
2014-05-22,2190.155
2014-05-23,2200.226
2014-05-26,2204.991
2014-05-27,2212.086
2014-05-28,2227.065
2014-05-29,2236.903
2014-05-30,2227.085
2014-06-02,2212.745
2014-06-03,2189.357
2014-06-04,2183.11
2014-06-05,2207.476
2014-06-06,2224.487
2014-06-09,2233.279
2014-06-10,2226.077
2014-06-11,2221.835
2014-06-12,2237.564
